Home: Boavista |1 : 2| Vitória Guimarães
Home: Vitória Setúbal |2 : 2| U. Madeira
Home: Nacional |3 : 1| Maritimo
Home: U. Madeira |0 : 1| Braga
Home: Belenenses |2 : 1| Tondela
Home: Arouca |0 : 1| Sporting
Home: FC Porto |2 : 0| Vitória Setúbal
Home: Benfica |2 : 0| Boavista
Home: Maritimo |3 : 2| Rio Ave
Home: Moreirense |2 : 0| Paços Ferreira
Home: Vitória Guimarães |0 : 1| Nacional
Home: Estoril |1 : 1| Academica
Home: Paços Ferreira |0 : 1| Vitória Guimarães
Home: Boavista |0 : 1| Maritimo
Home: Academica |1 : 1| Moreirense
Home: Rio Ave |1 : 0| Nacional
Home: Vitória Setúbal |0 : 0| Arouca
Home: Sporting |1 : 0| Estoril
Home: Braga |4 : 0| Belenenses
Home: Tondela |0 : 4| Benfica
Home: Belenenses |1 : 0| U. Madeira
Home: FC Porto |0 : 0| Braga
Home: Benfica |0 : 3| Sporting
Home: Arouca |1 : 1| Tondela
Home: Moreirense |0 : 2| Vitória Setúbal
Home: Vitória Guimarães |1 : 1| Academica
Home: Estoril |2 : 2| Rio Ave
Home: Maritimo |0 : 2| Paços Ferreira
Home: Nacional |0 : 0| Boavista
Home: Sporting |5 : 1| Vitória Guimarães
Home: FC Porto |4 : 0| Belenenses
Home: Braga |0 : 0| Arouca
Home: Rio Ave |1 : 0| Boavista
Home: Academica |1 : 0| Maritimo
Home: Paços Ferreira |3 : 1| Nacional
Home: Tondela |1 : 1| Moreirense
Home: Vitória Setúbal |1 : 0| Estoril
Home: Rio Ave |1 : 0| Academica
Home: Vitória Guimarães |0 : 1| Braga
Home: Arouca |2 : 2| Belenenses
Home: Estoril |2 : 1| U. Madeira
Home: Maritimo |1 : 0| Tondela
Home: Nacional |1 : 1| Vitória Setúbal
Home: Boavista |0 : 0| Sporting
Home: Benfica |3 : 0| Paços Ferreira
Home: Moreirense |2 : 2| FC Porto
Home: Sporting |1 : 0| Nacional
Home: Braga |5 : 1| Maritimo
Home: Belenenses |2 : 0| Moreirense
Home: FC Porto |1 : 0| Benfica
Home: Academica |0 : 2| Boavista
Home: U. Madeira |0 : 0| Arouca
Home: Paços Ferreira |0 : 3| Rio Ave
Home: Tondela |0 : 1| Estoril
Home: Vitória Setúbal |2 : 2| Vitória Guimarães
Home: Boavista |0 : 1| Paços Ferreira
Home: Rio Ave |1 : 2| Sporting
Home: Vitória Guimarães |1 : 0| Tondela
Home: Maritimo |5 : 2| Vitória Setúbal
Home: Moreirense |0 : 0| U. Madeira
Home: Nacional |2 : 0| Academica
Home: Arouca |1 : 3| FC Porto
Home: Estoril |1 : 0| Braga
Home: Benfica |6 : 0| Belenenses
Home: U. Madeira |0 : 0| Vitória Guimarães
Home: Belenenses |1 : 1| Maritimo
Home: Academica |1 : 3| Sporting
Home: Braga |4 : 0| Boavista
Home: Paços Ferreira |1 : 1| Arouca
Home: Tondela |1 : 0| Nacional
Home: Benfica |3 : 2| Moreirense
Home: FC Porto |2 : 0| Estoril
Home: Vitória Setúbal |2 : 2| Rio Ave
Home: Academica |0 : 4| Vitória Setúbal
Home: Arouca |1 : 0| Benfica
Home: Boavista |1 : 0| Tondela
Home: Estoril |2 : 0| Moreirense
Home: Nacional |1 : 0| U. Madeira
Home: Vitória Guimarães |1 : 1| Belenenses
Home: Maritimo |1 : 1| FC Porto
Home: Sporting |1 : 1| Paços Ferreira
Home: Rio Ave |1 : 0| Braga
Home: Paços Ferreira |1 : 0| Academica
Home: Benfica |4 : 0| Estoril
Home: Braga |2 : 1| Nacional
Home: Moreirense |0 : 2| Arouca
Home: U. Madeira |2 : 1| Maritimo
Home: Vitória Setúbal |2 : 2| Boavista
Home: FC Porto |3 : 0| Vitória Guimarães
Home: Belenenses |3 : 3| Rio Ave
Home: Tondela |1 : 2| Sporting
